Total Accelerators,Watts / CPU+GPU TDP,Dataset
8,0.8230850439882698,Inference
8,0.950800586510264,Inference
8,0.8236041055718475,Inference
8,0.9474809384164222,Inference
8,0.811307917888563,Inference
8,0.8251114369501467,Inference
8,0.811307917888563,Inference
8,0.8251114369501467,Inference
8,0.83641642228739,Inference
8,0.8339296187683284,Inference
8,0.8255806451612904,Inference
8,0.8274574780058651,Inference
8,0.828533724340176,Inference
8,0.827891495601173,Inference
8,0.801704109589041,Inference
8,0.801704109589041,Inference
8,0.9711506849315068,Inference
8,0.9256876712328768,Inference
8,0.9163205479452056,Inference
8,0.9341397260273973,Inference
8,0.9074986301369864,Inference
8,0.9239123287671234,Inference
8,0.9074986301369864,Inference
8,0.9239123287671234,Inference
8,0.8897424657534246,Inference
8,0.9465287671232876,Inference
8,0.7904465753424658,Inference
8,0.7973150684931506,Inference
8,0.8519643835616438,Inference
8,0.8570164383561644,Inference
4,0.6228931506849315,Inference
4,0.6228931506849315,Inference
4,0.6868657534246575,Inference
4,0.6970904109589041,Inference
4,0.6865150684931507,Inference
4,0.6962136986301369,Inference
4,0.6876931506849315,Inference
4,0.7342794520547945,Inference
4,0.6876931506849315,Inference
4,0.7342794520547945,Inference
4,0.6506191780821918,Inference
4,0.7090465753424657,Inference
4,0.6201698630136986,Inference
4,0.6198246575342466,Inference
4,0.6797041095890411,Inference
4,0.6746575342465754,Inference
18,0.7994555555555556,Inference
18,0.8257722222222222,Inference
18,0.7191277777777778,Inference
18,0.7273055555555556,Inference
18,0.8921611111111112,Inference
18,0.7801,Inference
18,0.9263222222222224,Inference
18,0.8785055555555555,Inference
8,0.7067619047619047,Inference
8,0.6845238095238095,Inference
8,0.6521547619047618,Inference
8,0.6256547619047619,Inference
8,0.8062261904761905,Inference
8,0.7893690476190477,Inference
8,0.7630833333333333,Inference
8,0.7490357142857144,Inference
1,1.162,Inference
1,1.0146530612244895,Inference
1,1.1526122448979592,Inference
1,0.8659591836734694,Inference
1,1.1231020408163266,Inference
1,1.0831428571428572,Inference
1,1.1231020408163266,Inference
1,1.0831428571428572,Inference
1,1.1955102040816326,Inference
1,1.1906530612244897,Inference
1,1.089551020408163,Inference
1,1.0324489795918368,Inference
4,0.6138425925925927,Inference
4,0.6138425925925927,Inference
4,0.7313379629629629,Inference
4,0.7448935185185185,Inference
4,0.7297592592592592,Inference
4,0.8202037037037038,Inference
4,0.7408888888888888,Inference
4,0.7847638888888888,Inference
4,0.6439768518518518,Inference
4,0.6778796296296297,Inference
4,0.6974212962962963,Inference
4,0.6893101851851853,Inference
4,0.9072571428571428,Inference
4,0.8671428571428571,Inference
4,0.8265904761904761,Inference
4,0.8280761904761905,Inference
4,0.9564761904761904,Inference
4,0.975790476190476,Inference
8,0.9542033426183844,Inference
8,0.9542033426183844,Inference
8,0.950715877437326,Inference
8,0.970091922005571,Inference
8,0.9526462395543176,Inference
8,0.9688050139275768,Inference
8,0.9789554317548746,Inference
8,0.9748802228412256,Inference
8,0.9220139275766016,Inference
8,0.9037938718662952,Inference
8,0.930857938718663,Inference
8,0.7957158774373259,Inference
3,1.0097777777777777,Inference
3,1.0097777777777777,Inference
3,0.8801256038647343,Inference
3,0.8808212560386474,Inference
3,0.8803574879227053,Inference
3,0.8833333333333333,Inference
3,0.8951884057971015,Inference
3,0.901855072463768,Inference
3,0.8621256038647342,Inference
3,0.8679710144927536,Inference
18,0.9575555555555556,Inference
18,0.8010444444444446,Inference
