API Name,GPU model,Physical Processor,GPUs,vCPUs,On Demand Filled,gpu_model_clean,cpu_model_clean,gpu_count,vcpu_count,price_usd_per_hour,gpu_tdp_w_per_gpu,gpu_power_w_per_gpu_at_util,total_gpu_power_w,cpu_tdp_w_package,threads_per_package,cpu_tdp_w_per_vcpu,cpu_power_w_per_vcpu_at_util,total_cpu_power_w,total_power_w,total_power_mw,voll_usd_per_mwh,gpu_mapping_status,cpu_mapping_status,cpu_source_type,cpu_source_name,cpu_source_note
g6e.24xlarge,NVIDIA L40S,AMD EPYC 7R13 Processor,4.0,96 vCPUs,15.0656,L40S,AMD EPYC 7R13 Processor,4.0,96.0,15.0656,350,315.0,1260.0,280.0,96.0,2.9166666666666665,1.4583333333333333,140.0,1400.0,0.0014,10761.142857142857,resolved,resolved,benchmark_proxy,Closest EPYC Milan custom-SKU benchmark/reference listings,AWS custom Milan part; package TDP inferred from common benchmark/reference sources.
g6e.2xlarge,NVIDIA L40S,AMD EPYC 7R13 Processor,1.0,8 vCPUs,2.2421,L40S,AMD EPYC 7R13 Processor,1.0,8.0,2.2421,350,315.0,315.0,280.0,96.0,2.9166666666666665,1.4583333333333333,11.666666666666666,326.6666666666667,0.0003266666666666667,6863.571428571429,resolved,resolved,benchmark_proxy,Closest EPYC Milan custom-SKU benchmark/reference listings,AWS custom Milan part; package TDP inferred from common benchmark/reference sources.
g6e.48xlarge,NVIDIA L40S,AMD EPYC 7R13 Processor,8.0,192 vCPUs,30.1312,L40S,AMD EPYC 7R13 Processor,8.0,192.0,30.1312,350,315.0,2520.0,280.0,96.0,2.9166666666666665,1.4583333333333333,280.0,2800.0,0.0028,10761.142857142857,resolved,resolved,benchmark_proxy,Closest EPYC Milan custom-SKU benchmark/reference listings,AWS custom Milan part; package TDP inferred from common benchmark/reference sources.
g6e.4xlarge,NVIDIA L40S,AMD EPYC 7R13 Processor,1.0,16 vCPUs,3.0042,L40S,AMD EPYC 7R13 Processor,1.0,16.0,3.0042,350,315.0,315.0,280.0,96.0,2.9166666666666665,1.4583333333333333,23.333333333333332,338.3333333333333,0.00033833333333333334,8879.408866995074,resolved,resolved,benchmark_proxy,Closest EPYC Milan custom-SKU benchmark/reference listings,AWS custom Milan part; package TDP inferred from common benchmark/reference sources.
g6e.8xlarge,NVIDIA L40S,AMD EPYC 7R13 Processor,1.0,32 vCPUs,4.5286,L40S,AMD EPYC 7R13 Processor,1.0,32.0,4.5286,350,315.0,315.0,280.0,96.0,2.9166666666666665,1.4583333333333333,46.666666666666664,361.6666666666667,0.0003616666666666667,12521.474654377878,resolved,resolved,benchmark_proxy,Closest EPYC Milan custom-SKU benchmark/reference listings,AWS custom Milan part; package TDP inferred from common benchmark/reference sources.
g6e.xlarge,NVIDIA L40S,AMD EPYC 7R13 Processor,1.0,4 vCPUs,1.861,L40S,AMD EPYC 7R13 Processor,1.0,4.0,1.861,350,315.0,315.0,280.0,96.0,2.9166666666666665,1.4583333333333333,5.833333333333333,320.8333333333333,0.0003208333333333333,5800.5194805194815,resolved,resolved,benchmark_proxy,Closest EPYC Milan custom-SKU benchmark/reference listings,AWS custom Milan part; package TDP inferred from common benchmark/reference sources.
g6f.2xlarge,NVIDIA L4,AMD EPYC 7R13 Processor,0.25,8 vCPUs,0.475,L4,AMD EPYC 7R13 Processor,0.25,8.0,0.475,72,64.8,16.2,280.0,96.0,2.9166666666666665,1.4583333333333333,11.666666666666666,27.866666666666667,2.786666666666667e-05,17045.454545454544,resolved,resolved,benchmark_proxy,Closest EPYC Milan custom-SKU benchmark/reference listings,AWS custom Milan part; package TDP inferred from common benchmark/reference sources.
g6f.4xlarge,NVIDIA L4,AMD EPYC 7R13 Processor,0.5,16 vCPUs,0.95,L4,AMD EPYC 7R13 Processor,0.5,16.0,0.95,72,64.8,32.4,280.0,96.0,2.9166666666666665,1.4583333333333333,23.333333333333332,55.733333333333334,5.573333333333334e-05,17045.454545454544,resolved,resolved,benchmark_proxy,Closest EPYC Milan custom-SKU benchmark/reference listings,AWS custom Milan part; package TDP inferred from common benchmark/reference sources.
g6f.large,NVIDIA L4,AMD EPYC 7R13 Processor,0.125,2 vCPUs,0.202,L4,AMD EPYC 7R13 Processor,0.125,2.0,0.202,72,64.8,8.1,280.0,96.0,2.9166666666666665,1.4583333333333333,2.9166666666666665,11.016666666666666,1.1016666666666666e-05,18335.85476550681,resolved,resolved,benchmark_proxy,Closest EPYC Milan custom-SKU benchmark/reference listings,AWS custom Milan part; package TDP inferred from common benchmark/reference sources.
g6f.xlarge,NVIDIA L4,AMD EPYC 7R13 Processor,0.125,4 vCPUs,0.2375,L4,AMD EPYC 7R13 Processor,0.125,4.0,0.2375,72,64.8,8.1,280.0,96.0,2.9166666666666665,1.4583333333333333,5.833333333333333,13.933333333333334,1.3933333333333334e-05,17045.454545454544,resolved,resolved,benchmark_proxy,Closest EPYC Milan custom-SKU benchmark/reference listings,AWS custom Milan part; package TDP inferred from common benchmark/reference sources.
g7e.12xlarge,NVIDIA GB202,Intel Xeon Scalable (Emerald Rapids),2.0,48 vCPUs,8.2861,GB202,Intel Xeon Scalable (Emerald Rapids),2.0,48.0,8.2861,600,540.0,1080.0,350.0,96.0,3.6458333333333335,1.8229166666666667,87.5,1167.5,0.0011675,7097.301927194861,resolved,resolved,family_proxy,Representative Emerald Rapids Xeon benchmark/reference listings,Generic family label in source data; representative family proxy used.
g7e.24xlarge,NVIDIA GB202,Intel Xeon Scalable (Emerald Rapids),4.0,96 vCPUs,16.5722,GB202,Intel Xeon Scalable (Emerald Rapids),4.0,96.0,16.5722,600,540.0,2160.0,350.0,96.0,3.6458333333333335,1.8229166666666667,175.0,2335.0,0.002335,7097.301927194861,resolved,resolved,family_proxy,Representative Emerald Rapids Xeon benchmark/reference listings,Generic family label in source data; representative family proxy used.
g7e.2xlarge,NVIDIA GB202,Intel Xeon Scalable (Emerald Rapids),1.0,8 vCPUs,3.3631,GB202,Intel Xeon Scalable (Emerald Rapids),1.0,8.0,3.3631,600,540.0,540.0,350.0,96.0,3.6458333333333335,1.8229166666666667,14.583333333333334,554.5833333333334,0.0005545833333333334,6064.192336589031,resolved,resolved,family_proxy,Representative Emerald Rapids Xeon benchmark/reference listings,Generic family label in source data; representative family proxy used.
g7e.48xlarge,NVIDIA GB202,Intel Xeon Scalable (Emerald Rapids),8.0,192 vCPUs,33.1443,GB202,Intel Xeon Scalable (Emerald Rapids),8.0,192.0,33.1443,600,540.0,4320.0,350.0,96.0,3.6458333333333335,1.8229166666666667,350.0,4670.0,0.00467,7097.28051391863,resolved,resolved,family_proxy,Representative Emerald Rapids Xeon benchmark/reference listings,Generic family label in source data; representative family proxy used.
g7e.4xlarge,NVIDIA GB202,Intel Xeon Scalable (Emerald Rapids),1.0,16 vCPUs,3.9982,GB202,Intel Xeon Scalable (Emerald Rapids),1.0,16.0,3.9982,600,540.0,540.0,350.0,96.0,3.6458333333333335,1.8229166666666667,29.166666666666668,569.1666666666666,0.0005691666666666666,7024.655929721816,resolved,resolved,family_proxy,Representative Emerald Rapids Xeon benchmark/reference listings,Generic family label in source data; representative family proxy used.
g7e.8xlarge,NVIDIA GB202,Intel Xeon Scalable (Emerald Rapids),1.0,32 vCPUs,5.2682,GB202,Intel Xeon Scalable (Emerald Rapids),1.0,32.0,5.2682,600,540.0,540.0,350.0,96.0,3.6458333333333335,1.8229166666666667,58.333333333333336,598.3333333333334,0.0005983333333333334,8804.791086350973,resolved,resolved,family_proxy,Representative Emerald Rapids Xeon benchmark/reference listings,Generic family label in source data; representative family proxy used.
gr6.4xlarge,NVIDIA L4,AMD EPYC 7R13 Processor,1.0,16 vCPUs,1.5392,L4,AMD EPYC 7R13 Processor,1.0,16.0,1.5392,72,64.8,64.8,280.0,96.0,2.9166666666666665,1.4583333333333333,23.333333333333332,88.13333333333333,8.813333333333333e-05,17464.44780635401,resolved,resolved,benchmark_proxy,Closest EPYC Milan custom-SKU benchmark/reference listings,AWS custom Milan part; package TDP inferred from common benchmark/reference sources.
