panel,instance_type,gpu_model_clean,gpu_vintage_group,canonical_basis_scenario,base_ondemand_voll_usd_per_mwh,gpu_class_median_voll_usd_per_mwh,distance_to_gpu_class_median,H_CUMULATIVE,U_mth,service_credit_share,voll_ondemand_incl_sla_usd_per_mwh
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,12.600000000000001,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,12.700000000000001,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,12.8,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,12.9,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,13.0,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,13.100000000000001,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,13.200000000000001,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,13.3,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,13.4,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,13.5,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,13.600000000000001,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,13.700000000000001,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,13.8,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,13.9,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,14.0,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,14.100000000000001,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,14.200000000000001,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,14.3,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,14.4,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,14.5,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,14.600000000000001,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,14.700000000000001,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,14.8,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,14.9,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,15.0,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,15.100000000000001,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,15.200000000000001,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,15.3,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,15.4,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,15.5,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,15.600000000000001,0.25,0.3,385311.9924457035
