gpu_model_clean,voll_usd_per_mwh_inf_median,voll_spot_usd_per_mwh_inf_median,instance_type,flex_discount_usd_per_mwh,flex_discount_pct_of_ondemand,gpu_vintage_group,panel_scenario,voll_usd_per_mwh_trng_median,voll_spot_usd_per_mwh_trng_median
L4,,,g6.12xlarge,5526.168224299067,51.399513212795554,Mainstream Modern AI,trng_median,10751.40186915888,5225.2336448598135
L4,,,g6.16xlarge,8289.432989690718,63.124116815826646,Mainstream Modern AI,trng_median,13131.958762886596,4842.525773195876
L4,,,g6.24xlarge,5675.000000000001,48.289189837008635,Mainstream Modern AI,trng_median,11752.112676056338,6077.1126760563375
L4,,,g6.2xlarge,4325.874125874127,42.18494271685761,Mainstream Modern AI,trng_median,10254.545454545456,5928.671328671329
L4,,,g6.48xlarge,5819.630281690142,49.519864573346126,Mainstream Modern AI,trng_median,11752.112676056338,5932.482394366197
L4,,,g6.4xlarge,5512.078651685391,49.433192261185,Mainstream Modern AI,trng_median,11150.561797752807,5638.483146067416
L4,,,g6.8xlarge,5205.846774193551,42.72736298649723,Mainstream Modern AI,trng_median,12183.87096774194,6978.024193548388
L4,,,g6.xlarge,5029.482071713149,52.28628230616303,Mainstream Modern AI,trng_median,9619.123505976097,4589.641434262948
L40S,,,g6e.12xlarge,3825.5844155844156,56.148142500428875,Mainstream Modern AI,trng_median,6813.376623376624,2987.792207792208
L40S,,,g6e.16xlarge,10628.757763975154,75.27978672860687,Mainstream Modern AI,trng_median,14119.006211180124,3490.248447204969
L40S,,,g6e.24xlarge,6543.690476190477,72.97021028037383,Mainstream Modern AI,trng_median,8967.619047619048,2423.928571428571
L40S,,,g6e.2xlarge,3356.517857142858,55.8895678158869,Mainstream Modern AI,trng_median,6005.625000000001,2649.107142857143
L40S,,,g6e.48xlarge,6138.690476190475,68.45396134239591,Mainstream Modern AI,trng_median,8967.619047619048,2828.928571428572
L40S,,,g6e.4xlarge,4421.596638655462,58.38159909460089,Mainstream Modern AI,trng_median,7573.613445378151,3152.0168067226887
L40S,,,g6e.8xlarge,7003.308270676692,68.55981981186238,Mainstream Modern AI,trng_median,10214.887218045113,3211.578947368421
L40S,,,g6e.xlarge,2688.6635944700456,52.25147770016121,Mainstream Modern AI,trng_median,5145.622119815667,2456.9585253456216
L4,,,g6f.2xlarge,6512.903225806453,56.67368421052632,Mainstream Modern AI,trng_median,11491.93548387097,4979.032258064517
L4,,,g6f.4xlarge,6078.629032258065,52.89473684210526,Mainstream Modern AI,trng_median,11491.93548387097,5413.306451612904
L4,,,g6f.large,9808.988764044945,72.02970297029704,Mainstream Modern AI,trng_median,13617.977528089888,3808.988764044944
L4,,,g6f.xlarge,6914.516129032259,60.16842105263158,Mainstream Modern AI,trng_median,11491.93548387097,4577.41935483871
GB202,,,g7e.12xlarge,4031.9272727272723,66.90602334029278,Mainstream Modern AI,trng_median,6026.254545454545,1994.3272727272729
GB202,,,g7e.24xlarge,4125.854545454546,68.4646576797287,Mainstream Modern AI,trng_median,6026.254545454545,1900.4
GB202,,,g7e.2xlarge,3701.7218543046365,69.25158336058995,Mainstream Modern AI,trng_median,5345.324503311259,1643.6026490066226
GB202,,,g7e.48xlarge,3891.8363636363642,64.58154192425243,Mainstream Modern AI,trng_median,6026.236363636364,2134.4
GB202,,,g7e.4xlarge,4272.0,70.34165374418488,Mainstream Modern AI,trng_median,6073.215189873417,1801.2151898734176
GB202,,,g7e.8xlarge,5300.372093023256,72.10432405755286,Mainstream Modern AI,trng_median,7350.976744186047,2050.6046511627906
