date,voll_mean,voll_min,voll_max,obs_count,ondemand_price_usd_per_hour,voll_ondemand_historical
2025-03-31,2925.6019830028326,2768.1303116147305,3126.5155807365436,12,32.773,9283.966851989133
2025-04-01,2926.1756373937674,2758.640226628895,3233.7677053824364,11,32.773,9283.966851989133
2025-04-02,2973.984032964203,2765.552407932011,3289.4050991501413,11,32.773,9283.966851989133
2025-04-03,3136.489612842304,2840.8498583569403,3388.356940509915,12,32.773,9283.966851989133
2025-04-04,3171.4787535410765,2888.9518413597734,3444.4759206798867,10,32.773,9283.966851989133
2025-04-05,3168.5528800755433,2908.5552407932014,3425.2691218130312,12,32.773,9283.966851989133
2025-04-06,3136.770538243626,2913.371104815864,3404.815864022663,9,32.773,9283.966851989133
2025-04-07,3286.369890732497,2974.674220963173,3541.246458923513,14,32.773,9283.966851989133
2025-04-08,3378.2974504249287,3007.7337110481585,3694.4475920679884,10,32.773,9283.966851989133
2025-04-09,3542.783929951069,3025.3824362606233,3771.813031161473,11,32.773,9283.966851989133
2025-04-10,3382.240535668298,2980.5949008498583,3750.4249291784704,11,32.773,9283.966851989133
2025-04-11,3418.3317595215613,2914.7875354107646,3719.0084985835692,9,32.773,9283.966851989133
2025-04-12,3343.5949008498583,2913.71104815864,3671.2747875354107,10,32.773,9283.966851989133
2025-04-13,3374.481586402266,2887.9320113314448,3643.0028328611897,10,32.773,9283.966851989133
2025-04-14,3354.7001888574123,2906.7988668555236,3566.798866855524,12,32.773,9283.966851989133
2025-04-15,3234.079320113314,2883.0311614730876,3487.818696883852,12,32.773,9283.966851989133
2025-04-16,3319.681847897145,2897.308781869688,3495.212464589235,13,32.773,9283.966851989133
2025-04-17,3250.923040604344,2915.580736543909,3437.8470254957506,12,32.773,9283.966851989133
2025-04-18,3223.019357884797,2874.645892351275,3409.4050991501413,12,32.773,9283.966851989133
2025-04-19,3159.9613700746845,2867.733711048159,3410.8781869688382,11,32.773,9283.966851989133
2025-04-20,3260.2322946175636,2923.824362606232,3425.7790368271953,10,32.773,9283.966851989133
2025-04-21,3251.291784702549,2906.5722379603394,3429.9716713881016,10,32.773,9283.966851989133
2025-04-22,3228.2294617563734,2916.0056657223795,3484.164305949008,12,32.773,9283.966851989133
2025-04-23,3267.179729304375,2947.1954674220965,3487.195467422096,9,32.773,9283.966851989133
2025-04-24,3217.167138810198,2920.0,3468.810198300283,11,32.773,9283.966851989133
2025-04-25,3232.053824362606,2902.8045325779035,3435.8923512747874,10,32.773,9283.966851989133
2025-04-26,3229.425333872926,2914.9008498583567,3442.1529745042494,14,32.773,9283.966851989133
2025-04-27,3203.522190745987,2902.096317280453,3420.8781869688382,9,32.773,9283.966851989133
2025-04-28,3227.8838526912177,2891.1331444759207,3426.5155807365436,10,32.773,9283.966851989133
2025-04-29,3177.2172586620177,2911.359773371105,3458.0453257790364,13,32.773,9283.966851989133
2025-04-30,3226.079320113314,2913.116147308782,3462.0679886685552,10,32.773,9283.966851989133
2025-05-01,3200.883337625547,2934.5042492917846,3420.198300283286,11,32.773,9283.966851989133
2025-05-02,3148.2223796033995,2960.9348441926345,3370.764872521246,12,32.773,9283.966851989133
2025-05-03,3151.7040749618654,2954.7025495750704,3363.71104815864,13,32.773,9283.966851989133
2025-05-04,3116.5659427132514,2990.6232294617566,3354.8158640226625,9,32.773,9283.966851989133
2025-05-05,3164.24711266071,2963.3994334277622,3379.6600566572233,13,32.773,9283.966851989133
2025-05-06,3157.407932011331,3008.4702549575068,3323.626062322946,12,32.773,9283.966851989133
2025-05-07,3172.2379603399436,3030.1983002832862,3296.3739376770536,12,32.773,9283.966851989133
2025-05-08,3205.9065155807366,3034.5042492917846,3345.8640226628895,12,32.773,9283.966851989133
2025-05-09,3196.473087818697,3068.356940509915,3310.793201133144,10,32.773,9283.966851989133
