date,voll_mean,voll_min,voll_max,obs_count,location,ondemand_price_usd_per_hour,voll_ondemand_historical
2025-05-11,2020.113314447592,1524.7592067988667,2803.3427762039655,10,us-east-1,32.773,9283.966851989133
2025-05-12,2208.9801699716713,2208.9801699716713,2208.9801699716713,1,us-east-2,32.773,9283.966851989133
2025-05-12,1505.6657223796035,1505.6657223796035,1505.6657223796035,1,us-east-1,32.773,9283.966851989133
2025-05-16,2019.9150141643058,1674.4759206798865,2365.3541076487254,2,us-east-2,32.773,9283.966851989133
2025-05-16,2890.0849858356937,2748.640226628895,2969.4617563739375,3,us-west-2,32.773,9283.966851989133
2025-05-16,1929.688385269122,1157.4787535410762,2610.1416430594904,3,us-east-1,32.773,9283.966851989133
2025-05-17,1932.5283286118981,1104.957507082153,2593.9376770538242,12,us-east-1,32.773,9283.966851989133
2025-05-17,2015.1487252124643,1673.85269121813,2367.7337110481585,8,us-east-2,32.773,9283.966851989133
2025-05-17,2829.4617563739375,2681.841359773371,2979.631728045326,12,us-west-2,32.773,9283.966851989133
2025-05-18,2119.5390162245685,1099.4900849858357,2592.5495750708214,11,us-east-1,32.773,9283.966851989133
2025-05-18,2740.6798866855524,2591.756373937677,2851.586402266289,11,us-west-2,32.773,9283.966851989133
2025-05-18,2021.5779036827196,1659.7733711048159,2374.7308781869688,10,us-east-2,32.773,9283.966851989133
2025-05-19,2695.46388101983,2593.56940509915,2932.4079320113315,8,us-west-2,32.773,9283.966851989133
2025-05-19,1855.338369531004,1103.8810198300282,2568.583569405099,9,us-east-1,32.773,9283.966851989133
2025-05-19,2034.0840415486307,1698.1303116147308,2383.597733711048,6,us-east-2,32.773,9283.966851989133
2025-05-20,2057.7840730248663,1742.1529745042492,2380.1983002832862,9,us-east-2,32.773,9283.966851989133
2025-05-20,2129.4971671388103,1118.328611898017,2543.087818696884,8,us-east-1,32.773,9283.966851989133
2025-05-20,2776.055240793201,2579.1218130311613,3132.379603399433,12,us-west-2,32.773,9283.966851989133
2025-05-21,1950.2755601339172,1123.0028328611897,2541.104815864023,11,us-east-1,32.773,9283.966851989133
2025-05-21,2114.803273528486,1851.6430594900849,2395.7790368271953,9,us-east-2,32.773,9283.966851989133
2025-05-21,2838.668555240793,2569.093484419263,3181.473087818697,10,us-west-2,32.773,9283.966851989133
2025-05-22,2186.534466477809,1971.6430594900849,2392.124645892351,9,us-east-2,32.773,9283.966851989133
2025-05-22,1919.682719546742,1137.082152974504,2532.7478753541077,10,us-east-1,32.773,9283.966851989133
2025-05-22,2733.6195249509697,2582.1246458923515,3137.7337110481585,13,us-west-2,32.773,9283.966851989133
2025-05-23,2246.9081343585594,2115.439093484419,2398.441926345609,7,us-east-2,32.773,9283.966851989133
2025-05-23,2083.038887458151,1194.5042492917846,2556.968838526912,11,us-east-1,32.773,9283.966851989133
2025-05-23,2786.9971671388103,2631.5297450424932,3153.257790368272,11,us-west-2,32.773,9283.966851989133
2025-05-24,2774.754056142158,2639.2917847025496,3113.2011331444755,11,us-west-2,32.773,9283.966851989133
2025-05-24,1995.5972615675164,1216.1756373937676,2558.5552407932014,12,us-east-1,32.773,9283.966851989133
2025-05-24,2311.3840550384457,2180.4249291784704,2400.028328611898,7,us-east-2,32.773,9283.966851989133
2025-05-25,1960.4508970727102,1273.541076487252,2583.5977337110485,12,us-east-1,32.773,9283.966851989133
2025-05-25,2832.784702549575,2589.7450424929175,3182.209631728045,10,us-west-2,32.773,9283.966851989133
2025-05-25,2391.9452313503302,2333.2861189801697,2418.8668555240793,6,us-east-2,32.773,9283.966851989133
2025-05-26,2094.295325779037,1358.8668555240793,2600.28328611898,8,us-east-1,32.773,9283.966851989133
2025-05-26,2423.4115742614326,2384.985835694051,2454.1359773371105,7,us-east-2,32.773,9283.966851989133
2025-05-26,2789.3295561850805,2590.2266288951837,3268.668555240793,12,us-west-2,32.773,9283.966851989133
2025-05-27,2893.0972615675164,2632.8611898016998,3339.1218130311613,12,us-west-2,32.773,9283.966851989133
2025-05-27,2402.9704573047347,2351.841359773371,2458.8101983002834,7,us-east-2,32.773,9283.966851989133
2025-05-27,2104.0509915014163,1399.4050991501415,2584.589235127479,10,us-east-1,32.773,9283.966851989133
2025-05-28,2878.2899819727013,2650.14164305949,3357.053824362606,11,us-west-2,32.773,9283.966851989133
2025-05-28,2383.7287535410765,2334.0509915014163,2436.7422096317277,8,us-east-2,32.773,9283.966851989133
2025-05-28,1914.886685552408,1442.5212464589235,2437.903682719547,10,us-east-1,32.773,9283.966851989133
2025-05-29,2375.9915014164303,2332.6628895184135,2471.1614730878186,6,us-east-2,32.773,9283.966851989133
2025-05-29,2020.7053824362606,1510.9348441926345,2431.5580736543907,10,us-east-1,32.773,9283.966851989133
2025-05-29,2945.124903425187,2704.6458923512746,3347.167138810198,11,us-west-2,32.773,9283.966851989133
2025-05-30,2112.096317280453,1593.28611898017,2443.9093484419263,10,us-east-1,32.773,9283.966851989133
2025-05-30,2885.5114888259363,2721.2747875354107,3363.597733711048,9,us-west-2,32.773,9283.966851989133
2025-05-30,2391.182719546742,2335.099150141643,2450.1133144475916,8,us-east-2,32.773,9283.966851989133
2025-05-31,2931.769250579449,2735.6373937677054,3336.0056657223795,11,us-west-2,32.773,9283.966851989133
2025-05-31,2384.6256576284904,2330.7082152974504,2452.294617563739,7,us-east-2,32.773,9283.966851989133
2025-05-31,2169.266288951841,1670.1699716713879,2443.314447592068,10,us-east-1,32.773,9283.966851989133
2025-06-01,2131.1331444759203,1742.6345609065156,2444.7308781869683,12,us-east-1,32.773,9283.966851989133
2025-06-01,2963.699244570349,2779.5467422096317,3305.6373937677054,12,us-west-2,32.773,9283.966851989133
2025-06-01,2383.630109267503,2327.025495750708,2460.481586402266,7,us-east-2,32.773,9283.966851989133
2025-06-02,2182.7620396600564,1871.6147308781867,2600.9348441926345,4,us-east-1,32.773,9283.966851989133
2025-06-02,3084.351274787535,2766.940509915014,3380.7365439093483,5,us-west-2,32.773,9283.966851989133
2025-06-02,2405.2691218130312,2339.4050991501417,2471.1331444759207,2,us-east-2,32.773,9283.966851989133
2025-06-03,2371.371914204775,2289.0084985835692,2436.402266288952,7,us-east-2,32.773,9283.966851989133
2025-06-03,2326.585312704293,1884.3626062322944,2655.354107648725,13,us-east-1,32.773,9283.966851989133
2025-06-03,3028.2719546742205,2765.7507082152974,3431.2464589235124,13,us-west-2,32.773,9283.966851989133
2025-06-04,3210.2034509399946,2727.2521246458923,3522.2946175637394,11,us-west-2,32.773,9283.966851989133
2025-06-04,2293.8739376770536,2156.7422096317277,2403.116147308782,8,us-east-2,32.773,9283.966851989133
2025-06-04,2275.1377800669584,1846.2606232294615,2650.7365439093487,11,us-east-1,32.773,9283.966851989133
2025-06-05,2208.3286118980172,2042.3796033994333,2336.798866855524,7,us-east-2,32.773,9283.966851989133
2025-06-05,3152.201133144476,2689.886685552408,3524.7308781869683,10,us-west-2,32.773,9283.966851989133
2025-06-05,2238.892823418319,1771.926345609065,2645.977337110481,12,us-east-1,32.773,9283.966851989133
2025-06-06,2079.301227573182,1976.9405099150142,2226.317280453258,9,us-east-2,32.773,9283.966851989133
2025-06-06,3100.7700231779554,2630.9631728045324,3439.2917847025496,11,us-west-2,32.773,9283.966851989133
2025-06-06,2151.9357884796977,1653.5694050991501,2549.490084985836,12,us-east-1,32.773,9283.966851989133
2025-06-07,2051.56940509915,1612.6345609065154,2342.5779036827194,10,us-east-1,32.773,9283.966851989133
2025-06-07,1980.594900849858,1893.654390934844,2073.71104815864,7,us-east-2,32.773,9283.966851989133
2025-06-07,2997.3229461756373,2505.1841359773366,3313.5977337110476,10,us-west-2,32.773,9283.966851989133
2025-06-08,1897.571833265884,1838.1586402266287,1960.7082152974501,7,us-east-2,32.773,9283.966851989133
2025-06-08,1984.0226628895182,1625.014164305949,2169.3767705382434,11,us-east-1,32.773,9283.966851989133
2025-06-08,2814.555240793201,2359.3201133144476,3255.6373937677054,10,us-west-2,32.773,9283.966851989133
2025-06-09,1847.0420207743155,1627.1671388101981,2065.949008498583,12,us-east-1,32.773,9283.966851989133
2025-06-09,2719.558073654391,2301.2747875354107,2984.9575070821525,10,us-west-2,32.773,9283.966851989133
2025-06-09,1809.8394711992444,1755.4107648725212,1861.728045325779,6,us-east-2,32.773,9283.966851989133
2025-06-10,1738.565864022663,1684.7025495750709,1779.1501416430594,8,us-east-2,32.773,9283.966851989133
2025-06-10,2620.9477208344065,2207.8470254957506,2869.0934844192634,11,us-west-2,32.773,9283.966851989133
2025-06-10,1888.89164305949,1626.71388101983,1939.3767705382436,8,us-east-1,32.773,9283.966851989133
2025-06-11,2503.2747875354107,2121.586402266289,2756.1189801699716,10,us-west-2,32.773,9283.966851989133
2025-06-11,1680.3434844192634,1648.328611898017,1730.254957507082,8,us-east-2,32.773,9283.966851989133
2025-06-11,1784.595772499455,1600.7648725212464,1907.5637393767704,13,us-east-1,32.773,9283.966851989133
2025-06-12,1592.3355366698142,1522.4079320113315,1658.413597733711,9,us-east-2,32.773,9283.966851989133
2025-06-12,1769.2728989612842,1586.1756373937676,1909.3201133144473,12,us-east-1,32.773,9283.966851989133
2025-06-12,2263.85835694051,1980.8781869688385,2592.407932011331,10,us-west-2,32.773,9283.966851989133
2025-06-13,1750.2195467422096,1579.4617563739375,1924.1643059490084,12,us-east-1,32.773,9283.966851989133
2025-06-13,1592.7714825306894,1558.7818696883853,1628.0169971671387,6,us-east-2,32.773,9283.966851989133
2025-06-13,2305.5665722379604,1866.685552407932,2523.3144475920676,12,us-west-2,32.773,9283.966851989133
2025-06-14,1743.583569405099,1571.5864022662888,1942.7762039660056,12,us-east-1,32.773,9283.966851989133
2025-06-14,1658.8031161473086,1595.7223796033995,1728.526912181303,8,us-east-2,32.773,9283.966851989133
2025-06-14,2207.6281225856296,1806.628895184136,2507.8186968838527,11,us-west-2,32.773,9283.966851989133
2025-06-15,1740.4957507082152,1559.9150141643058,1941.3881019830028,12,us-east-1,32.773,9283.966851989133
2025-06-15,1710.1092675030352,1650.5949008498583,1766.798866855524,7,us-east-2,32.773,9283.966851989133
2025-06-15,2206.1992445703495,1764.3059490084984,2537.7620396600564,12,us-west-2,32.773,9283.966851989133
2025-06-16,2145.898016997167,1752.4645892351275,2537.025495750708,10,us-west-2,32.773,9283.966851989133
2025-06-16,1730.2423670129053,1559.0368271954674,1947.6770538243625,9,us-east-1,32.773,9283.966851989133
2025-06-16,1786.9192634560904,1707.8753541076487,1881.4164305949007,8,us-east-2,32.773,9283.966851989133
2025-06-17,2120.1251180358827,1733.1728045325779,2581.728045325779,12,us-west-2,24.153,6842.0849899641
2025-06-17,1728.1019830028329,1544.4192634560907,1924.6458923512746,11,us-east-1,24.153,6842.0849899641
2025-06-17,1867.8061063896757,1767.6203966005664,1993.6827195467422,9,us-east-2,24.153,6842.0849899641
2025-06-18,1708.990471285089,1528.7818696883853,1915.042492917847,11,us-east-1,24.153,6842.0849899641
2025-06-18,1956.3314447592068,1811.3314447592068,2108.895184135977,8,us-east-2,24.153,6842.0849899641
2025-06-18,2150.981200103013,1736.0906515580737,2560.453257790368,11,us-west-2,24.153,6842.0849899641
2025-06-19,1798.7315077116775,1525.8640226628895,1912.6628895184133,9,us-east-1,24.153,6842.0849899641
2025-06-19,2072.2946175637394,1894.7025495750706,2294.4759206798867,8,us-east-2,24.153,6842.0849899641
2025-06-19,2130.180867291349,1752.6062322946175,2559.8016997167138,13,us-west-2,24.153,6842.0849899641
2025-06-20,1709.1532892666037,1507.9036827195466,1868.725212464589,9,us-east-1,24.153,6842.0849899641
