Name,API Name,Instance Memory,vCPUs,Memory per vCPU,GPUs,Storage,Linux On Demand cost,Linux Savings Plan,Linux Reserved cost,Linux Spot cost,Windows On Demand cost,Windows Savings Plan,Windows Reserved cost,Windows Spot cost
EC32ads v6,EC32ads v6,192 GiB,32,6 GiB/vCPU,0,1200 GiB,$2.323 hourly,,,$0.4293 hourly,$3.795 hourly,,,$0.7013 hourly
EC32as v5,EC32as v5,192 GiB,32,6 GiB/vCPU,0,0 GiB,$1.808 hourly,,,$0.3341 hourly,$3.28 hourly,,,$0.6061 hourly
EC32as v6,EC32as v6,192 GiB,32,6 GiB/vCPU,0,0 GiB,$1.907 hourly,,,$0.3524 hourly,$3.379 hourly,,,$0.6244 hourly
EC32eds v6,EC32eds v6,256 GiB,32,8 GiB/vCPU,0,1760 GiB,$2.616 hourly,,,$0.4834 hourly,$4.088 hourly,,,$0.7555 hourly
EC32es v6,EC32es v6,256 GiB,32,8 GiB/vCPU,0,0 GiB,$2.117 hourly,,,$0.3912 hourly,$3.589 hourly,,,$0.6632 hourly
EC48ads v5,EC48ads v5,384 GiB,48,8 GiB/vCPU,0,1800 GiB,$3.144 hourly,,,$0.581 hourly,$5.352 hourly,,,$0.9891 hourly
EC48ads v6,EC48ads v6,256 GiB,48,5.33 GiB/vCPU,0,1800 GiB,$3.485 hourly,,,$0.644 hourly,$5.693 hourly,,,$1.0521 hourly
EC48as v5,EC48as v5,384 GiB,48,8 GiB/vCPU,0,0 GiB,$2.712 hourly,,,$0.5012 hourly,$4.92 hourly,,,$0.9092 hourly
EC48as v6,EC48as v6,256 GiB,48,5.33 GiB/vCPU,0,0 GiB,$2.861 hourly,,,$0.5287 hourly,$5.069 hourly,,,$0.9368 hourly
EC48eds v6,EC48eds v6,384 GiB,48,8 GiB/vCPU,0,2640 GiB,$3.924 hourly,,,$0.7252 hourly,$6.132 hourly,,,$1.1332 hourly
EC48es v6,EC48es v6,384 GiB,48,8 GiB/vCPU,0,0 GiB,$3.175 hourly,,,$0.5867 hourly,$5.383 hourly,,,$0.9948 hourly
EC4ads v5,EC4ads v5,32 GiB,4,8 GiB/vCPU,0,150 GiB,$0.262 hourly,,,$0.0484 hourly,$0.446 hourly,,,$0.0824 hourly
EC4ads v6,EC4ads v6,32 GiB,4,8 GiB/vCPU,0,150 GiB,$0.29 hourly,,,$0.0536 hourly,$0.474 hourly,,,$0.0876 hourly
EC4as v5,EC4as v5,32 GiB,4,8 GiB/vCPU,0,0 GiB,$0.226 hourly,,,$0.0418 hourly,$0.41 hourly,,,$0.0758 hourly
EC4as v6,EC4as v6,32 GiB,4,8 GiB/vCPU,0,0 GiB,$0.238 hourly,,,$0.044 hourly,$0.422 hourly,,,$0.078 hourly
EC4eds v6,EC4eds v6,32 GiB,4,8 GiB/vCPU,0,220 GiB,$0.327 hourly,,,$0.0604 hourly,$0.511 hourly,,,$0.0944 hourly
EC4es v6,EC4es v6,32 GiB,4,8 GiB/vCPU,0,0 GiB,$0.265 hourly,,,$0.049 hourly,$0.449 hourly,,,$0.083 hourly
EC64ads v5,EC64ads v5,512 GiB,64,8 GiB/vCPU,0,2400 GiB,$4.192 hourly,,,$0.7747 hourly,$7.136 hourly,,,$1.3187 hourly
EC64ads v6,EC64ads v6,384 GiB,64,6 GiB/vCPU,0,2400 GiB,$4.646 hourly,,,$0.8586 hourly,$7.59 hourly,,,$1.4026 hourly
EC64as v5,EC64as v5,512 GiB,64,8 GiB/vCPU,0,0 GiB,$3.616 hourly,,,$0.6682 hourly,$6.56 hourly,,,$1.2123 hourly
EC64as v6,EC64as v6,384 GiB,64,6 GiB/vCPU,0,0 GiB,$3.814 hourly,,,$0.7048 hourly,$6.758 hourly,,,$1.2489 hourly
EC64eds v6,EC64eds v6,512 GiB,64,8 GiB/vCPU,0,3520 GiB,$5.233 hourly,,,$0.9671 hourly,$8.177 hourly,,,$1.5111 hourly
EC64es v6,EC64es v6,512 GiB,64,8 GiB/vCPU,0,0 GiB,$4.234 hourly,,,$0.7824 hourly,$7.178 hourly,,,$1.3265 hourly
EC8ads v5,EC8ads v5,64 GiB,8,8 GiB/vCPU,0,300 GiB,$0.524 hourly,,,$0.0968 hourly,$0.892 hourly,,,$0.1648 hourly
EC8ads v6,EC8ads v6,64 GiB,8,8 GiB/vCPU,0,300 GiB,$0.581 hourly,,,$0.1074 hourly,$0.949 hourly,,,$0.1754 hourly
EC8as v5,EC8as v5,64 GiB,8,8 GiB/vCPU,0,0 GiB,$0.452 hourly,,,$0.0835 hourly,$0.82 hourly,,,$0.1515 hourly
EC8as v6,EC8as v6,64 GiB,8,8 GiB/vCPU,0,0 GiB,$0.477 hourly,,,$0.0882 hourly,$0.845 hourly,,,$0.1562 hourly
EC8eds v6,EC8eds v6,64 GiB,8,8 GiB/vCPU,0,440 GiB,$0.654 hourly,,,$0.1209 hourly,$1.022 hourly,,,$0.1889 hourly
EC8es v6,EC8es v6,64 GiB,8,8 GiB/vCPU,0,0 GiB,$0.529 hourly,,,$0.0978 hourly,$0.897 hourly,,,$0.1658 hourly
EC96ads v5,EC96ads v5,672 GiB,96,7 GiB/vCPU,0,2400 GiB,$6.288 hourly,,,$1.162 hourly,$10.704 hourly,,,$1.9781 hourly
EC96ads v6,EC96ads v6,672 GiB,96,7 GiB/vCPU,0,3600 GiB,$6.97 hourly,,,$1.2881 hourly,$11.386 hourly,,,$2.1041 hourly
EC96as v5,EC96as v5,672 GiB,96,7 GiB/vCPU,0,0 GiB,$5.424 hourly,,,$1.0024 hourly,$9.84 hourly,,,$1.8184 hourly
EC96as v6,EC96as v6,672 GiB,96,7 GiB/vCPU,0,0 GiB,$5.722 hourly,,,$1.0574 hourly,$10.138 hourly,,,$1.8735 hourly
EC96iads v5,EC96iads v5,672 GiB,96,7 GiB/vCPU,0,2400 GiB,$6.917 hourly,,,$1.2783 hourly,$11.333 hourly,,,$2.0943 hourly
EC96ias v5,EC96ias v5,672 GiB,96,7 GiB/vCPU,0,0 GiB,$5.966 hourly,,,$1.1025 hourly,$10.382 hourly,,,$1.9186 hourly
F1,F1,2 GiB,1,2 GiB/vCPU,0,16 GiB,$0.0497 hourly,,,$0.0092 hourly,$0.0957 hourly,,,$0.0179 hourly
F16,F16,32 GiB,16,2 GiB/vCPU,0,256 GiB,$1.432 hourly,,,$0.2646 hourly,$2.48 hourly,,,$0.4583 hourly
F16ads v7,F16ads v7,64 GiB,16,4 GiB/vCPU,0,1760 GiB,$1.372 hourly,,,$0.2535 hourly,$2.108 hourly,,,$0.3896 hourly
F16alds v7,F16alds v7,32 GiB,16,2 GiB/vCPU,0,1760 GiB,$1.145 hourly,,,$0.2116 hourly,$1.881 hourly,,,$0.3476 hourly
F16als v6,F16als v6,32 GiB,16,2 GiB/vCPU,0,0 GiB,$0.968 hourly,,,$0.2066 hourly,$1.704 hourly,,,$0.3636 hourly
F16als v7,F16als v7,32 GiB,16,2 GiB/vCPU,0,0 GiB,$0.968 hourly,,,$0.1789 hourly,$1.704 hourly,,,$0.3149 hourly
F16amds v7,F16amds v7,128 GiB,16,8 GiB/vCPU,0,1760 GiB,$1.744 hourly,,,$0.3223 hourly,$2.48 hourly,,,$0.4583 hourly
F16ams v6,F16ams v6,128 GiB,16,8 GiB/vCPU,0,0 GiB,$1.432 hourly,,,$0.3056 hourly,$2.168 hourly,,,$0.4627 hourly
F16ams v7,F16ams v7,128 GiB,16,8 GiB/vCPU,0,0 GiB,$1.432 hourly,,,$0.2646 hourly,$2.168 hourly,,,$0.4006 hourly
F16as v6,F16as v6,64 GiB,16,4 GiB/vCPU,0,0 GiB,$1.093 hourly,,,$0.2332 hourly,$1.829 hourly,,,$0.3903 hourly
F16as v7,F16as v7,64 GiB,16,4 GiB/vCPU,0,0 GiB,$1.093 hourly,,,$0.202 hourly,$1.829 hourly,,,$0.338 hourly
F16s,F16s,32 GiB,16,2 GiB/vCPU,0,64 GiB,$0.796 hourly,,,$0.1471 hourly,$1.532 hourly,,,$0.2862 hourly
