Name,API Name,Instance Family,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,Memory Speed,Uses NUMA Architecture,NUMA Node Count,Max NUMA Distance,Cores per NUMA Node (Avg),Threads per NUMA Node (Avg),Memory per NUMA Node (Avg MB),L3 Cache per NUMA Node (Avg MB),L3 Cache Shared,Compute Units (ECU),vCPUs,GiB of Memory per vCPU,GPUs,GPU model,GPU memory,CUDA Compute Capability,FPGAs,ECU per vCPU,Physical Processor,Clock Speed(GHz),Intel AVX,Intel AVX2,Intel AVX-512,Intel Turbo,Instance Storage,Instance Storage: already warmed-up,Instance Storage: SSD TRIM Support,Arch,Network Performance,EBS Optimized: Baseline Bandwidth,EBS Optimized: Baseline Throughput (128K),EBS Optimized: Baseline IOPS (16K),EBS Optimized: Max Bandwidth,EBS Optimized: Max Throughput (128K),EBS Optimized: Max IOPS (16K),EBS Exposed as NVMe,Max IPs,Max ENIs,Enhanced Networking,Bare metal,Trunking compatible,Branch interface,VPC Only,IPv6 Support,Placement Group Support,Linux Virtualization,On EMR,Availability Zones,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Linux Spot Average cost,RHEL On Demand cost,RHEL Reserved cost,RHEL Spot Minimum cost,RHEL Spot Maximum cost,RHEL with HA On Demand cost,RHEL with HA Reserved cost,RHEL with HA Spot Minimum cost,RHEL with HA Spot Maximum cost,SLES On Demand cost,SLES Reserved cost,SLES Spot Minimum cost,SLES Spot Maximum cost,Windows On Demand cost,Windows Reserved cost,Windows Spot Minimum cost,Windows Spot Average cost,Dedicated Host On Demand,Dedicated Host Reserved,Windows SQL Web On Demand cost,Windows SQL Web Reserved cost,Windows SQL Std On Demand cost,Windows SQL Std Reserved cost,Windows SQL Ent On Demand cost,Windows SQL Ent Reserved cost,Linux SQL Web On Demand cost,Linux SQL Web Reserved cost,Linux SQL Std On Demand cost,Linux SQL Std Reserved cost,Linux SQL Ent On Demand cost,Linux SQL Ent Reserved cost,Linux Spot Interrupt Frequency,EMR cost,Generation,GPU Architectures,GPU Temp (Avg °C),FFmpeg Used CUDA,FFmpeg Speed,GPU Power Draw (Avg Watts),GPU Power Limit (Watts),GPU Graphics Clock (Avg MHz),GPU SM Clock (Avg MHz),GPU Memory Clock (Avg MHz),GPU Video Clock (Avg MHz)
R6IN 32xlarge,r6in.32xlarge,r6in,,Memory optimized,,1024 GiB,,,,,,,,,,0 units,128 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,EBS only,,,x86_64,200 Gigabit,100000 Mbps,12500 MB/s,400000 IOPS,100000 Mbps,12500 MB/s,400000 IOPS,Yes,800,16,Yes,No,Yes,106,Yes,Yes,Yes,Unknown,Yes,,$11.1571 hourly,$7.029 hourly,$2.9906 hourly,$3.7325 hourly,$12.3859 hourly,$8.2578 hourly,$4.2194 hourly,$5.3873 hourly,$13.7299 hourly,$9.6018 hourly,,,$11.2821 hourly,$7.0889 hourly,$3.1156 hourly,$4.2835 hourly,$17.0451 hourly,$12.917 hourly,$7.0037 hourly,$7.0221 hourly,$8.87 hourly,$5.868 hourly,$19.2083 hourly,$15.0802 hourly,$32.4051 hourly,$28.277 hourly,$65.0451 hourly,$60.917 hourly,$13.3203 hourly,$9.1922 hourly,$26.5171 hourly,$22.389 hourly,$59.1571 hourly,$55.029 hourly,>20%,$2.7893 hourly,current,,,,,,,,,,
R6IN Quadruple Extra Large,r6in.4xlarge,r6in,,Memory optimized,,128 GiB,,,,,,,,,,0 units,16 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,EBS only,,,x86_64,Up to 50 Gigabit,12500 Mbps,1562.5 MB/s,50000 IOPS,25000 Mbps,3125 MB/s,100000 IOPS,Yes,240,8,Yes,No,Yes,54,Yes,Yes,Yes,Unknown,Yes,,$1.3946 hourly,$0.8786 hourly,$0.4455 hourly,$0.5118 hourly,$1.5674 hourly,$1.0514 hourly,$0.6183 hourly,$0.8004 hourly,$1.7914 hourly,$1.2754 hourly,,,$1.5196 hourly,$0.9385 hourly,$0.5705 hourly,$0.7526 hourly,$2.1306 hourly,$0.8786 hourly,$0.8869 hourly,$0.8869 hourly,$8.87 hourly,$5.868 hourly,$2.401 hourly,$1.885 hourly,$4.0506 hourly,$3.5346 hourly,$8.1306 hourly,$7.6146 hourly,$1.665 hourly,$1.149 hourly,$3.3146 hourly,$2.7986 hourly,$7.3946 hourly,$6.8786 hourly,>20%,$0.3487 hourly,current,,,,,,,,,,
R6IN Eight Extra Large,r6in.8xlarge,r6in,,Memory optimized,,256 GiB,,,,,,,,,,0 units,32 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,EBS only,,,x86_64,50 Gigabit,25000 Mbps,3125 MB/s,100000 IOPS,25000 Mbps,3125 MB/s,100000 IOPS,Yes,240,8,Yes,No,Yes,84,Yes,Yes,Yes,Unknown,Yes,,$2.7893 hourly,$1.7573 hourly,$0.8625 hourly,$0.9968 hourly,$3.1349 hourly,$2.1029 hourly,$1.2081 hourly,$1.444 hourly,$3.5829 hourly,$2.5509 hourly,,,$2.9143 hourly,$1.8172 hourly,$0.9875 hourly,$1.2234 hourly,$4.2613 hourly,$3.2293 hourly,$1.7509 hourly,$1.7648 hourly,$8.87 hourly,$5.868 hourly,$4.8021 hourly,$3.7701 hourly,$8.1013 hourly,$7.0693 hourly,$16.2613 hourly,$15.2293 hourly,$3.3301 hourly,$2.2981 hourly,$6.6293 hourly,$5.5973 hourly,$14.7893 hourly,$13.7573 hourly,>20%,$0.6973 hourly,current,,,,,,,,,,
R6IN Large,r6in.large,r6in,,Memory optimized,,16 GiB,,,,,,,,,,0 units,2 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,EBS only,,,x86_64,Up to 25 Gigabit,1562 Mbps,195.3125 MB/s,6250 IOPS,25000 Mbps,3125 MB/s,100000 IOPS,Yes,30,3,Yes,No,Yes,9,Yes,Yes,Yes,Unknown,No,,$0.1743 hourly,$0.1098 hourly,$0.0269 hourly,$0.032 hourly,$0.2031 hourly,$0.1386 hourly,$0.0557 hourly,$0.0693 hourly,$0.2381 hourly,$0.1736 hourly,,,$0.2306 hourly,$0.1348 hourly,$0.0832 hourly,$0.0968 hourly,$0.2663 hourly,$0.1098 hourly,$0.1109 hourly,$0.1109 hourly,$8.87 hourly,$5.868 hourly,$0.3339 hourly,$0.2694 hourly,$0.7463 hourly,$0.6818 hourly,,,$0.2419 hourly,$0.1774 hourly,$0.6543 hourly,$0.5898 hourly,,,>20%,,current,,,,,,,,,,
R6IN Metal,r6in.metal,r6in,,Memory optimized,,1024 GiB,,,,,,,,,,0 units,128 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,EBS only,,,x86_64,200 Gigabit,100000 Mbps,12500 MB/s,400000 IOPS,100000 Mbps,12500 MB/s,400000 IOPS,Yes,800,16,Yes,Yes,Yes,106,Yes,Yes,Yes,Unknown,No,,$11.1571 hourly,$7.029 hourly,$1.6941 hourly,$2.0683 hourly,$12.3859 hourly,$8.2578 hourly,$2.9229 hourly,$4.2548 hourly,$13.7299 hourly,$9.6018 hourly,,,$11.2821 hourly,$7.0889 hourly,$1.8191 hourly,$3.151 hourly,$17.0451 hourly,$7.029 hourly,$7.0037 hourly,$7.1448 hourly,$8.87 hourly,$5.868 hourly,$19.2083 hourly,$15.0802 hourly,$32.4051 hourly,$28.277 hourly,$65.0451 hourly,$60.917 hourly,$13.3203 hourly,$9.1922 hourly,$26.5171 hourly,$22.389 hourly,$59.1571 hourly,$55.029 hourly,>20%,,current,,,,,,,,,,
R6IN Extra Large,r6in.xlarge,r6in,,Memory optimized,,32 GiB,,,,,,,,,,0 units,4 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,EBS only,,,x86_64,Up to 30 Gigabit,3125 Mbps,390.625 MB/s,12500 IOPS,25000 Mbps,3125 MB/s,100000 IOPS,Yes,60,4,Yes,No,Yes,18,Yes,Yes,Yes,Unknown,Yes,,$0.3487 hourly,$0.2197 hourly,$0.137 hourly,$0.1642 hourly,$0.4063 hourly,$0.2773 hourly,$0.1946 hourly,$0.2601 hourly,$0.4763 hourly,$0.3473 hourly,,,$0.405 hourly,$0.2697 hourly,$0.1933 hourly,$0.2588 hourly,$0.5327 hourly,$0.2197 hourly,$0.2189 hourly,$0.2206 hourly,$8.87 hourly,$5.868 hourly,$0.6003 hourly,$0.4713 hourly,$1.0127 hourly,$0.8837 hourly,$2.0327 hourly,$1.9037 hourly,$0.4163 hourly,$0.2873 hourly,$0.8287 hourly,$0.6997 hourly,$1.8487 hourly,$1.7197 hourly,>20%,$0.0872 hourly,current,,,,,,,,,,
R7A 12xlarge Extra Large,r7a.12xlarge,r7a,"1,627,394.474",Memory optimized,315.0 fps,384 GiB,4800 MT/s,No,,,,,,,,0 units,48 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R14 Processor,Up to 3.7 GHz,,,,,EBS only,,,x86_64,18.75 Gigabit,15000 Mbps,1875 MB/s,60000 IOPS,15000 Mbps,1875 MB/s,60000 IOPS,Yes,240,8,Yes,No,Yes,114,Yes,Yes,Yes,Unknown,Yes,,$3.6516 hourly,$2.4155 hourly,$1.0324 hourly,$1.1739 hourly,$4.17 hourly,$2.9339 hourly,$1.5508 hourly,$1.8897 hourly,$4.842 hourly,$3.6059 hourly,,,$3.7766 hourly,$2.4754 hourly,$1.1574 hourly,$1.4963 hourly,$5.8596 hourly,$4.6235 hourly,$2.5732 hourly,$2.5915 hourly,$16.067 hourly,$10.628 hourly,$6.6708 hourly,$5.4347 hourly,$11.6196 hourly,$10.3835 hourly,$23.8596 hourly,$22.6235 hourly,$4.4628 hourly,$3.2267 hourly,$9.4116 hourly,$8.1755 hourly,$21.6516 hourly,$20.4155 hourly,>20%,$0.9129 hourly,current,,,No,10.50x,,,,,,
R7A 16xlarge Extra Large,r7a.16xlarge,r7a,"1,992,631.415",Memory optimized,309.0 fps,512 GiB,4800 MT/s,No,,,,,,,,0 units,64 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R14 Processor,Up to 3.7 GHz,,,,,EBS only,,,x86_64,25 Gigabit,20000 Mbps,2500 MB/s,80000 IOPS,20000 Mbps,2500 MB/s,80000 IOPS,Yes,750,15,Yes,No,Yes,107,Yes,Yes,Yes,Unknown,Yes,,$4.8688 hourly,$3.2207 hourly,$0.6858 hourly,$1.1924 hourly,$5.56 hourly,$3.9119 hourly,$1.377 hourly,$2.8149 hourly,$6.456 hourly,$4.8079 hourly,,,$4.9938 hourly,$3.2806 hourly,$0.8108 hourly,$2.2487 hourly,$7.8128 hourly,$6.1647 hourly,$3.4309 hourly,$3.4629 hourly,$16.067 hourly,$10.628 hourly,$8.8944 hourly,$7.2463 hourly,$15.4928 hourly,$13.8447 hourly,$31.8128 hourly,$30.1647 hourly,$5.9504 hourly,$4.3023 hourly,$12.5488 hourly,$10.9007 hourly,$28.8688 hourly,$27.2207 hourly,10-15%,$1.2172 hourly,current,,,No,10.30x,,,,,,
R7A 24xlarge,r7a.24xlarge,r7a,"2,791,373.879",Memory optimized,308.0 fps,768 GiB,4800 MT/s,No,,,,,,,,0 units,96 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R14 Processor,Up to 3.7 GHz,,,,,EBS only,,,x86_64,37.5 Gigabit,30000 Mbps,3750 MB/s,120000 IOPS,30000 Mbps,3750 MB/s,120000 IOPS,Yes,750,15,Yes,No,Yes,107,Yes,Yes,Yes,Unknown,Yes,,$7.3032 hourly,$4.8311 hourly,$1.0699 hourly,$1.499 hourly,$8.34 hourly,$5.8679 hourly,$2.1067 hourly,$3.065 hourly,$9.684 hourly,$7.2119 hourly,,,$7.4282 hourly,$4.891 hourly,$1.1949 hourly,$2.1532 hourly,$11.7192 hourly,$9.2471 hourly,$5.1463 hourly,$5.1823 hourly,$16.067 hourly,$10.628 hourly,$13.3416 hourly,$10.8695 hourly,$23.2392 hourly,$20.7671 hourly,$47.7192 hourly,$45.2471 hourly,$8.9256 hourly,$6.4535 hourly,$18.8232 hourly,$16.3511 hourly,$43.3032 hourly,$40.8311 hourly,>20%,$1.8258 hourly,current,,,No,10.30x,,,,,,
R7A Double Extra Large,r7a.2xlarge,r7a,"255,699.979",Memory optimized,104.0 fps,64 GiB,4800 MT/s,No,,,,,,,,0 units,8 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R14 Processor,Up to 3.7 GHz,,,,,EBS only,,,x86_64,Up to 12.5 Gigabit,2500 Mbps,312.5 MB/s,12000 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,60,4,Yes,No,Yes,38,Yes,Yes,Yes,Unknown,Yes,,$0.6086 hourly,$0.4026 hourly,$0.2096 hourly,$0.2405 hourly,$0.7238 hourly,$0.5178 hourly,$0.3248 hourly,$0.4029 hourly,$0.8638 hourly,$0.6578 hourly,,,$0.7336 hourly,$0.4625 hourly,$0.3346 hourly,$0.4127 hourly,$0.9766 hourly,$0.7706 hourly,$0.4289 hourly,$0.433 hourly,$16.067 hourly,$10.628 hourly,$1.1118 hourly,$0.9058 hourly,$1.9366 hourly,$1.7306 hourly,$3.9766 hourly,$3.7706 hourly,$0.7438 hourly,$0.5378 hourly,$1.5686 hourly,$1.3626 hourly,$3.6086 hourly,$3.4026 hourly,>20%,$0.1522 hourly,current,,,No,3.47x,,,,,,
R7A 32xlarge,r7a.32xlarge,r7a,"4,237,708.989",Memory optimized,310.0 fps,1024 GiB,5600 MT/s,Yes,2,32,64,64,505201 MB,256.0 MB,Yes,0 units,128 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R14 Processor,Up to 3.7 GHz,,,,,EBS only,,,x86_64,50 Gigabit,40000 Mbps,5000 MB/s,160000 IOPS,40000 Mbps,5000 MB/s,160000 IOPS,Yes,750,15,Yes,No,Yes,107,Yes,Yes,Yes,Unknown,Yes,,$9.7376 hourly,$6.4414 hourly,$1.3339 hourly,$2.2973 hourly,$10.9664 hourly,$7.6702 hourly,$2.5627 hourly,$4.4295 hourly,$12.3104 hourly,$9.0142 hourly,,,$9.8626 hourly,$6.5013 hourly,$1.4589 hourly,$3.3257 hourly,$15.6256 hourly,$12.3294 hourly,$6.8618 hourly,$6.9258 hourly,$16.067 hourly,$10.628 hourly,$17.7888 hourly,$14.4926 hourly,$30.9856 hourly,$27.6894 hourly,$63.6256 hourly,$60.3294 hourly,$11.9008 hourly,$8.6046 hourly,$25.0976 hourly,$21.8014 hourly,$57.7376 hourly,$54.4414 hourly,>20%,$2.4344 hourly,current,,,No,10.30x,,,,,,
R7A 48xlarge,r7a.48xlarge,r7a,"5,477,107.403",Memory optimized,305.0 fps,1536 GiB,4800 MT/s,Yes,2,32,96,96,757868 MB,384.0 MB,Yes,0 units,192 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R14 Processor,Up to 3.7 GHz,,,,,EBS only,,,x86_64,50 Gigabit,40000 Mbps,5000 MB/s,240000 IOPS,40000 Mbps,5000 MB/s,240000 IOPS,Yes,750,15,Yes,No,Yes,107,Yes,Yes,Yes,Unknown,Yes,,$14.6064 hourly,$9.6621 hourly,$2.3129 hourly,$3.3233 hourly,$16.4496 hourly,$11.5053 hourly,$4.1561 hourly,$5.7677 hourly,$18.4656 hourly,$13.5213 hourly,,,$14.7314 hourly,$9.722 hourly,$2.4379 hourly,$4.0495 hourly,$23.4384 hourly,$18.4941 hourly,$10.2926 hourly,$10.3414 hourly,$16.067 hourly,$10.628 hourly,$26.6832 hourly,$21.7389 hourly,$46.4784 hourly,$41.5341 hourly,$95.4384 hourly,$90.4941 hourly,$17.8512 hourly,$12.9069 hourly,$37.6464 hourly,$32.7021 hourly,$86.6064 hourly,$81.6621 hourly,>20%,$3.6516 hourly,current,,,No,10.10x,,,,,,
R7A Quadruple Extra Large,r7a.4xlarge,r7a,"513,506.285",Memory optimized,178.0 fps,128 GiB,5600 MT/s,No,,,,,,,,0 units,16 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R14 Processor,Up to 3.7 GHz,,,,,EBS only,,,x86_64,Up to 12.5 Gigabit,5000 Mbps,625 MB/s,20000 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,240,8,Yes,No,Yes,54,Yes,Yes,Yes,Unknown,Yes,,$1.2172 hourly,$0.8052 hourly,$0.3224 hourly,$0.422 hourly,$1.39 hourly,$0.978 hourly,$0.4952 hourly,$0.6852 hourly,$1.614 hourly,$1.202 hourly,,,$1.3422 hourly,$0.8651 hourly,$0.4474 hourly,$0.6374 hourly,$1.9532 hourly,$1.5412 hourly,$0.8577 hourly,$0.8676 hourly,$16.067 hourly,$10.628 hourly,$2.2236 hourly,$1.8116 hourly,$3.8732 hourly,$3.4612 hourly,$7.9532 hourly,$7.5412 hourly,$1.4876 hourly,$1.0756 hourly,$3.1372 hourly,$2.7252 hourly,$7.2172 hourly,$6.8052 hourly,15-20%,$0.3043 hourly,current,,,No,5.93x,,,,,,
R7A Eight Extra Large,r7a.8xlarge,r7a,"1,076,112.543",Memory optimized,284.0 fps,256 GiB,5600 MT/s,No,,,,,,,,0 units,32 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R14 Processor,Up to 3.7 GHz,,,,,EBS only,,,x86_64,12.5 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,240,8,Yes,No,Yes,84,Yes,Yes,Yes,Unknown,Yes,,$2.4344 hourly,$1.6104 hourly,$0.3179 hourly,$0.5889 hourly,$2.78 hourly,$1.956 hourly,$0.6635 hourly,$1.0997 hourly,$3.228 hourly,$2.404 hourly,,,$2.5594 hourly,$1.6703 hourly,$0.4429 hourly,$0.8791 hourly,$3.9064 hourly,$3.0824 hourly,$1.7354 hourly,$1.7357 hourly,$16.067 hourly,$10.628 hourly,$4.4472 hourly,$3.6232 hourly,$7.7464 hourly,$6.9224 hourly,$15.9064 hourly,$15.0824 hourly,$2.9752 hourly,$2.1512 hourly,$6.2744 hourly,$5.4504 hourly,$14.4344 hourly,$13.6104 hourly,15-20%,$0.6086 hourly,current,,,No,9.46x,,,,,,
R7A Large,r7a.large,r7a,"65,782.261",Memory optimized,27.0 fps,16 GiB,4800 MT/s,No,,,,,,,,0 units,2 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R14 Processor,Up to 3.7 GHz,,,,,EBS only,,,x86_64,Up to 12.5 Gigabit,650 Mbps,81.25 MB/s,3600 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,30,3,Yes,No,Yes,9,Yes,Yes,Yes,Unknown,No,,$0.1522 hourly,$0.1007 hourly,$0.0396 hourly,$0.0459 hourly,$0.181 hourly,$0.1295 hourly,$0.0684 hourly,$0.085 hourly,$0.216 hourly,$0.1645 hourly,,,$0.2085 hourly,$0.1257 hourly,$0.0959 hourly,$0.1125 hourly,$0.2442 hourly,$0.1927 hourly,$0.1085 hourly,$0.1086 hourly,$16.067 hourly,$10.628 hourly,$0.3118 hourly,$0.2603 hourly,$0.7242 hourly,$0.6727 hourly,,,$0.2198 hourly,$0.1683 hourly,$0.6322 hourly,$0.5807 hourly,,,15-20%,,current,,,No,0.92x,,,,,,
R7A Medium,r7a.medium,r7a,"35,377.358",Memory optimized,15.0 fps,8 GiB,4800 MT/s,No,,,,,,,,0 units,1 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R14 Processor,Up to 3.7 GHz,,,,,EBS only,,,x86_64,Up to 12.5 Gigabit,325 Mbps,40.625 MB/s,2500 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,8,2,Yes,No,Yes,4,Yes,Yes,Yes,Unknown,No,,$0.0761 hourly,$0.0503 hourly,$0.0165 hourly,$0.0219 hourly,$0.0905 hourly,$0.0647 hourly,$0.0309 hourly,$0.0421 hourly,$0.108 hourly,$0.0822 hourly,,,$0.1324 hourly,$0.0753 hourly,$0.0728 hourly,$0.084 hourly,$0.1221 hourly,$0.0963 hourly,$0.0542 hourly,$0.0543 hourly,$16.067 hourly,$10.628 hourly,$0.1897 hourly,$0.1639 hourly,$0.6021 hourly,$0.5763 hourly,,,$0.1437 hourly,$0.1179 hourly,$0.5561 hourly,$0.5303 hourly,,,<5%,,current,,,No,0.48x,,,,,,
R7A Metal-48xl,r7a.metal-48xl,r7a,"6,200,215.285",Memory optimized,293.0 fps,1536 GiB,4800 MT/s,Yes,2,32,96,96,770849 MB,384.0 MB,Yes,0 units,192 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R14 Processor,Up to 3.7 GHz,,,,,EBS only,,,x86_64,50 Gigabit,40000 Mbps,5000 MB/s,240000 IOPS,40000 Mbps,5000 MB/s,240000 IOPS,Yes,750,15,Yes,Yes,Yes,107,Yes,Yes,Yes,Unknown,No,,$14.6064 hourly,$9.6621 hourly,$1.9617 hourly,$3.0966 hourly,$16.4496 hourly,$11.5053 hourly,$3.8049 hourly,$6.556 hourly,$18.4656 hourly,$13.5213 hourly,,,$14.7314 hourly,$9.722 hourly,$2.0867 hourly,$4.8378 hourly,$23.4384 hourly,$18.4941 hourly,$10.2926 hourly,$10.3179 hourly,$16.067 hourly,$10.628 hourly,$26.6832 hourly,$21.7389 hourly,$46.4784 hourly,$41.5341 hourly,$95.4384 hourly,$90.4941 hourly,$17.8512 hourly,$12.9069 hourly,$37.6464 hourly,$32.7021 hourly,$86.6064 hourly,$81.6621 hourly,5-10%,,current,,,No,9.75x,,,,,,
R7A Extra Large,r7a.xlarge,r7a,"136,892.539",Memory optimized,55.0 fps,32 GiB,4800 MT/s,No,,,,,,,,0 units,4 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R14 Processor,Up to 3.7 GHz,,,,,EBS only,,,x86_64,Up to 12.5 Gigabit,1250 Mbps,156.25 MB/s,6000 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,60,4,Yes,No,Yes,18,Yes,Yes,Yes,Unknown,Yes,,$0.3043 hourly,$0.2013 hourly,$0.0772 hourly,$0.1044 hourly,$0.3619 hourly,$0.2589 hourly,$0.1348 hourly,$0.1926 hourly,$0.4319 hourly,$0.3289 hourly,,,$0.3606 hourly,$0.2513 hourly,$0.1335 hourly,$0.1913 hourly,$0.4883 hourly,$0.3853 hourly,$0.2144 hourly,$0.2164 hourly,$16.067 hourly,$10.628 hourly,$0.5559 hourly,$0.4529 hourly,$0.9683 hourly,$0.8653 hourly,$1.9883 hourly,$1.8853 hourly,$0.3719 hourly,$0.2689 hourly,$0.7843 hourly,$0.6813 hourly,$1.8043 hourly,$1.7013 hourly,>20%,$0.0761 hourly,current,,,No,1.84x,,,,,,
R7G 12xlarge Extra Large,r7g.12xlarge,r7g,"1,184,600.197",Memory optimized,239.0 fps,384 GiB,,No,,,,,,,,0 units,48 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,,,,,EBS only,,,arm64,22.5 Gigabit,15000 Mbps,1875 MB/s,60000 IOPS,15000 Mbps,1875 MB/s,60000 IOPS,Yes,240,8,Yes,No,Yes,54,Yes,Yes,Yes,Unknown,Yes,,$2.5704 hourly,$1.7003 hourly,$0.4337 hourly,$0.6024 hourly,$3.0888 hourly,$2.2187 hourly,$0.9521 hourly,$1.2256 hourly,$3.7608 hourly,$2.8907 hourly,,,$2.6954 hourly,$1.7602 hourly,$0.5587 hourly,$0.8322 hourly,,,,,$11.31 hourly,$7.481 hourly,,,,,,,,,,,,,>20%,$0.6426 hourly,current,,,No,7.96x,,,,,,
R7G 16xlarge Extra Large,r7g.16xlarge,r7g,"1,652,572.461",Memory optimized,223.0 fps,512 GiB,,No,,,,,,,,0 units,64 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,,,,,EBS only,,,arm64,30 Gigabit,20000 Mbps,2500 MB/s,80000 IOPS,20000 Mbps,2500 MB/s,80000 IOPS,Yes,750,15,Yes,No,Yes,107,Yes,Yes,Yes,Unknown,Yes,,$3.4272 hourly,$2.2671 hourly,$0.5205 hourly,$0.8517 hourly,$4.1184 hourly,$2.9583 hourly,$1.2117 hourly,$1.7511 hourly,$5.0144 hourly,$3.8543 hourly,,,$3.5522 hourly,$2.327 hourly,$0.6455 hourly,$1.1849 hourly,,,,,$11.31 hourly,$7.481 hourly,,,,,,,,,,,,,10-15%,$0.8568 hourly,current,,,No,7.41x,,,,,,
R7G Double Extra Large,r7g.2xlarge,r7g,"196,963.48",Memory optimized,72.0 fps,64 GiB,,No,,,,,,,,0 units,8 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,,,,,EBS only,,,arm64,Up to 15 Gigabit,2500 Mbps,312.5 MB/s,12000 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,60,4,Yes,No,Yes,38,Yes,Yes,Yes,Unknown,Yes,,$0.4284 hourly,$0.2834 hourly,$0.1343 hourly,$0.1502 hourly,$0.5436 hourly,$0.3986 hourly,$0.2495 hourly,$0.2876 hourly,$0.6836 hourly,$0.5386 hourly,,,$0.5534 hourly,$0.3433 hourly,$0.2593 hourly,$0.2974 hourly,,,,,$11.31 hourly,$7.481 hourly,,,,,,,,,,,,,>20%,$0.1071 hourly,current,,,No,2.39x,,,,,,
R7G Quadruple Extra Large,r7g.4xlarge,r7g,"411,073.287",Memory optimized,132.0 fps,128 GiB,,No,,,,,,,,0 units,16 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,,,,,EBS only,,,arm64,Up to 15 Gigabit,5000 Mbps,625 MB/s,20000 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,240,8,Yes,No,Yes,54,Yes,Yes,Yes,Unknown,Yes,,$0.8568 hourly,$0.5668 hourly,$0.2347 hourly,$0.3051 hourly,$1.0296 hourly,$0.7396 hourly,$0.4075 hourly,$0.542 hourly,$1.2536 hourly,$0.9636 hourly,,,$0.9818 hourly,$0.6267 hourly,$0.3597 hourly,$0.4942 hourly,,,,,$11.31 hourly,$7.481 hourly,,,,,,,,,,,,,>20%,$0.2142 hourly,current,,,No,4.39x,,,,,,
